БЕЛГОРОДСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47242) 4-95-25, 4-95-40
«БУТОВОАГРО» ООО;(47244) 4-31-42, 4-31-25
«ВАЛУЙКИ» ФИЛИАЛ ООО «РУСАГРО-ИН-ВЕСТ»;(47236) 9-33-25, 9-33-99
«ВАЛУЙКИ» ФИЛИАЛ ООО «РУСАГРО-ИНВЕСТ»;(47236) 2-75-38, 2-75-19
«ВЕЙДЕЛЕВКА» ФИЛИАЛ ООО «РУСАГ-РОИНВЕСТ»;(47237) 5-22-36
«ВЕЙДЕЛЕВСКИЙ БРОЙЛЕР» ЗАО;(47237) 5-40-81
«ВЕЙДЕЛЕВСКОЕ» ЗАО;(47237) 5-46-31, 5-43-71
«ВИКТОРИЯ» ЗАО;(47232) 5-48-79, 5-60-11
«ВОЗРОЖДЕНИЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(47261) 4-65-30
«ВОЛОТОВСКАЯ» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47232) 4-91-49, 4-91-47
«ВОСХОД» ЗАО;(47248) 6-55-43, 6-27-04
«ГЕРЦЕВСКАЯ» АГРОФИРМА (ООО);(4722) 20-72-90, 20-75-59
«ГЛИННОЕ» ПОДРАЗДЕЛЕНИЕ КРАСНО-ЯРУЖСКОЙ ЗЕРНОВОЙ КОМПАНИИ (ЗАО);(47233) 5-91-82
«ГРАФОВКА» АГРОФИРМА (ООО);(47248) 7-13-69
«ГУБКАГРОСНАБ» ОАО;(47241) 6-72-57
«ГУБКИН АГРОХОЛДИНГ» СЕЛЬХОЗПРЕДПРИЯТИЕ (ОАО);(47241) 6-52-75, 6-52-66, 6-52-85
«ГУБКИН АГРОХОЛДИНГ» СЕЛЬХОЗПРЕДПРИЯТИЕ (ОАО);(47241) 6-90-34, 6-90-18
«ДЕРЖАВА» ООО;(47248) 7-82-33, 7-84-46
«ДМИТРИЕВСКАЯ НИВА» ОАО;(4725) 49-02-32, 49-02-47
«ДОЛГОПОЛЯНСКАЯ НИВА» ЗАО;(4725) 49-75-33
«ДРУЖБА» ЗАО;(47261) 4-53-06
«ЗАВЕТЫ ИЛЬИЧА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(47238) 3-14-37, 3-14-42
«ЗАГОРЬЕ» ОАО;(47241) 6-66-45
«ЗАРЕЧЬЕ» ООО;(47261) 6-11-91, 6-11-93
«ЗАРЯ 2000? ООО;(47242) 4-93-83
«ЗЕЛЕНАЯ ДОЛИНА» МОЛОЧНАЯ КОМПАНИЯ (ОАО);(4722) 29-26-91
«ЗЕРНО БЕЛОГОРЬЯ» ООО;(47262) 5-72-21, 5-72-16
«ЗНАМЯ ТРУДА» КОЛХОЗ;(47245) 2-11-92, 2-11-35
«ИСТОЧНИК» ООО;(47242) 2-83-37, 2-83-32
«КАЗАЦКОСТЕПСКОЕ» ОАО;(47241) 6-04-36
«КОЗИНСКОЕ» ООО;(47261) 4-76-10
«КОЛОС» ЗАО;(47262) 5-52-93, 5-59-82
«КОЛОС» ООО;(910) 326-54-34
«КОМСОМОЛЕЦ» ОАО. АГРОХОЛДИНГ «БЕЛГОРОДСКАЯ НИВА»;(4722) 38-32-10, 38-42-33
«КОНЬШИНО» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47241) 6-41-23, 6-41-33, 6-40-37
«КОРОЧАНСКИЙ» ПЛОДОПИТОМНИК (ЗАО);(47231) 5-68-83, 5-68-84, 5-72-40
«КРАСНЕНСКОЕ» ЗАО;(47244) 6-42-38, 6-43-91
«КРАСНОЯРУЖСКИЙ БРОЙЛЕР» ПЛЕМЕННОЙ РЕПРОДУКТОР ПЕРВОГО ПОРЯДКА (ЗАО);(47263) 4-51-41, 4-51-45, 4-63-22, 4-65-44
«КРОНА» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(47261) 4-81-40
«КУСТОВОЕ» ООО;(47244) 4-52-44, 2-24-75
«ЛАПЫГИНСКАЯ НИВА» ОАО;(4725) 39-23-33
«ЛЕБЕДЬ» ФИЛИАЛ АГРОФИРМЫ «МЕТАЛЛУРГ» (ОАО);(47241) 5-70-16, 4-61-81
«ЛЕНИНСКИЙ ПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(47238) 3-86-23, 3-86-35
«ЛОПАНСКАЯ» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА. ООО «БЕЛГОРОДСКИЕ ГРАНУЛИРОВАННЫЕ КОРМА»;(4722) 38-21-44, 38-22-43
«ЛУЧ» ООО;(47236) 2-43-25
«МАЙСКИЙ» ООО. ПО «БЕЛГРАНКОРМ»;(4722) 57-04-10, 57-10-26
«МАЛОТРОИЦКОЕ» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47232) 4-51-44, 4-51-45
«МАМАТОВ И.В.» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(47242) 4-93-44
«МЕТАЛЛУРГ» АГРОФИРМА (ООО);(4725) 37-41-48, 37-12-99
«МИХАЙЛОВСКОЕ» ООО;(47233) 5-10-70, 5-12-82
«МОЛОКО» ОАО;(4722) 57-72-14, 57-72-16
«МОЛОЧНИК» ООО;(47261) 3-51-50, 3-51-40
«МУРОМСКИЙ» ПЛЕМЕННОЙ РЕПРОДУКТОР (ЗАО);(4722) 21-82-84, 22-33-64
«МУРОМСКИЙ» ПЛЕМЕННОЙ РЕПРОДУКТОР ВТОРОГО ПОРЯДКА (ЗАО);"(4722) 21-82-84; (47248) 7-96-01, 7-96-02"
«НАГОЛЕНСКОЕ» АГРОПРОМЫШЛЕННОЕ ПРЕДПРИЯТИЕ (ООО);(47238) 3-11-88
«НАДЕЖДА» СЕЛЬХОЗПРЕДПРИЯТИЕ (ООО);(47233) 5-31-39, 5-31-32, 5-31-33
«НЕЖЕГОЛЬ» ООО;(47232) 5-51-81
«НИВА» ЗАО;(47248) 7-15-43, 7-15-39
«НИВА» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47235) 4-45-19
«НОВО-ЕЗДОЦКАЯ» ПТИЦЕФАБРИКА (ООО);(4722) 59-56-07, 59-56-02
«ОРЛИК» ОАО;(47232) 4-15-49
«ОСКОЛЕЦ» ЗАО;(4725) 22-46-90
«ОСКОЛ» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47241) 6-97-41, 6-97-16
«ОСКОЛ» ФИЛИАЛ ООО «РУСАГРО-ИНВЕСТ»;(47241) 5-73-63
«ПОБЕДА» СЕЛЬХОЗПРЕДПРИЯТИЕ (ОАО);(4722) 38-59-46
«ПОИСК» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(47261) 4-53-61
«ПОПЛАВСКИЙ Г.И.» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(47242) 2-16-43, 2-16-46
«ПОТУДАНЬ» АГРОПРОМЫШЛЕННОЕ ПРЕДПРИЯТИЕ (ОАО);(4725) 32-24-82, 39-33-34
«ПРИОСКОЛЬЕ» ЗАО;"(47233) 4-51-51, 4-54-00, 3-05-03, 3-05-05, 3-05-38, 3-05-62; (4722) 32-32-20"
«ПРОГРЕСС-ИНВЕСТ» ООО;(47243) 5-16-22
«РАЗУМЕНСКИЙ» ПЛЕМЗАВОД;(4722) 21-10-18, 59-50-60
«РАЗУМЕНСКИЙ» ПЛЕМЗАВОД (ЗАО);(4722) 59-23-60
«РАЗУМЕНСКОЕ» СЕЛЬХОЗПРЕДПРИЯТИЕ. ОАО «ЗАГОРЬЕ»;(4722) 59-56-07, 56-56-06
«РАКИТЯНСКАЯ» ИНКУБАТОРНО-ПТИЦЕВОДЧЕСКАЯ СТАНЦИЯ (ООО);(47245) 5-57-13
«РЕАЛ ИНВЕСТ» ЗАО;(47236) 2-12-82, 3-73-42
«РОВЕНЬСКИЙ БРОЙЛЕР» ОАО;(47238) 5-52-84
«РОГОВАТОВСКАЯ НИВА» АГРОФИРМА (ОАО);(4725) 49-04-90
«РОЖДЕСТВЕНСКОЕ ПОЛЕ» ООО;(47248) 7-30-94
«РОССИЯ» ЗАО;(47248) 7-82-31, 7-82-78
«РОСТОК» АГРОФИРМА (ООО);(47235) 5-26-28, 5-08-21
«РУСАГРО-АЙДАР» ЗАО;(47238) 5-43-73
«РУСАГРО-ДРУЖБА» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47248) 6-28-75, 6-24-74, 6-24-88
«РУСАГРО-МОЛОКО» ООО;(47232) 5-63-25
«РУСЬ-ПЛЕМПТИЦА» ООО;(47233) 4-42-24, 4-81-10
«РУСЬ» АГРОФИРМА (ЗАО);(47231) 5-90-83, 5-91-99 (доб. 1-18, 1-15)
«САМАРИНСКОЕ» ОАО;(47247) 7-74-44, 7-76-73, 7-77-42
«СЕВЕРНАЯ» ПТИЦЕФАБРИКА (ЗАО);(4722) 32-17-41, 39-94-25, 39-92-42, 3992-41
«СЕРГИЕВСКОЕ» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47241) 6-01-94
«СКОРОДНЯНСКОЕ» ЗАО;(47241) 6-71-81, 6-72-39, 6-73-38
«СЛОБОДСКОЕ» ООО;(47247) 3-25-92
«СМИРНОВ А.Ю.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(47243) 4-01-43, 4-01-35
«СОВЕТСКАЯ РОССИЯ» КОЛХОЗ;(47238) 3-24-18, 3-24-86, 3-25-29
«СОВЕТСКОЕ» ООО;(47234) 7-11-91
«ТО №1? ПРЕДПРИЯТИЕ. ООО «РУСАГРО-ИНВЕСТ»;(47262) 5-25-58, 5-41-80, 5-41-89
«ТОЛСТЯНСКОЕ» ООО. ЗАО «СКОРОДНЯНСКОЕ»;(47241) 6-88-87, 6-87-44, 6-71-81
«ТОПИГС СИАЙЭС» ООО;(4722) 22-09-41
«ТРАНС-СЕРВИС» ООО. ООО «АГРОПРОМИНВЕСТ»;(47234) 3-00-39, 3-57-44, 3-04-45
«ТРОИЦКИЙ» СЕЛЕКЦИОННО-ГИБРИДНЫЙ ЦЕНТР (ЗАО). ГРУППА КОМПАНИЙ «БВК»;(47241) 7-81-83
«ТРОИЦКОЕ» ЗАО;(47241) 7-82-34
«ТРОИЦКОЕ» ОАО;(47241) 7-81-82
«ТУЛЬЧИНКА» ООО;(47247) 3-10-40, 3-32-99
«УРАЕВСКИЙ» РЫБХОЗ (ЗАО);(47236) 9-35-36
«ФЕДОСЕЕВСКАЯ НИВА» ОАО. ООО «ОСКОЛЬСКАЯ ЗЕМЛЯ»;(4725) 22-35-33, 22-35-34
«ФОЩЕВАТОВО» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47235) 4-94-16, 4-11-46
«ХОМУТЦЫ» ООО;(47243) 4-81-21, 4-71-17
«ЦЕНТРАЛЬНОЕ» ОАО;(4722) 39-17-42
«ЧУЕВСКОЕ ПОЛЕ» ЗАО;(47241) 6-44-33, 6-44-34
«ШАРАПОВСКИЙ» ПЛЕМЕННОЙ РЫБОПИТОМНИК (ЗАО);(47233) 3-36-21
«ШЕБЕКИНСКАЯ» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА. ООО «БЕЛГОРОДСКИЕ ГРАНУЛИРОВАННЫЕ КОРМА»;(47248) 7-39-00
«ШИДЛОВКА» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47235) 4-33-41
«ЩЕТИНИН А.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(47243) 5-15-63
«ЭФКО РЕСУРС» ООО;(47234) 2-55-34, 2-54-67
«ЮТАНОВКА» ПРОИЗВОДСТВО. ООО «РУСАГРО-ИНВЕСТ»;(47235) 4-22-69
«ЯСНЫЕ ЗОРИ-2? ООО. ПРЕДПРИЯТИЕ «БЕЛГРАНКОРМ»;(47248) 7-39-00, 7-36-87
БРЯНСКАЯ МЯСНАЯ КОМПАНИЯ (ООО);(48352) 2-18-87
БРЯНСКАЯ ОБЛАСТНАЯ ГОСУДАРСТВЕННАЯ ПЛЕМЕННАЯ СЛУЖБА;(4832) 92-25-27
БРЯНСКАЯ ОПЫТНАЯ СТАНЦИЯ по ВЫРАЩИВАНИЮ КАРТОФЕЛЯ;(4832) 77-64-69
ЖУКОВСКАЯ МАШИННО-ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ;(980) 330-42-05
КАРАЧЕВСКИЙ ПЛОДОПИТОМНИК;(48335) 2-35-03
КЛИМОВСКАЯ КАРТОФЕЛЬНАЯ КОМПАНИЯ (ООО);(48347) 5-89-95, 5-89-23, 3-10-35
КОЛХОЗ ИМЕНИ XXI ПАРТСЪЕЗДА;(48348) 9-35-91, 9-33-59
КОЛХОЗ ИМЕНИ КАРЛА МАРКСА;(48348) 9-14-19, 9-41-10
КОЛХОЗ ИМЕНИ КРУПСКОЙ;(48348) 9-15-47, 9-15-21
КОЛХОЗ ИМЕНИ ЛЕНИНА;(48343) 5-31-55, 9-42-31
КОЛХОЗ ИМЕНИ ЛЕНИНА;(48348) 9-45-16, 9-45-17
КОЛХОЗ ИМЕНИ ЛЕНИНА;(48345) 3-51-41
КОЛХОЗ ИМЕНИ ПРАВДЫ;(48348) 9-16-14, 9-16-30
КОЛХОЗ ИМЕНИ УЛЬЯНОВА;(48356) 9-22-38
ОАО ИМЕНИ ЩОРСА;(48339) 2-11-07
ПОГАРСКАЯ КАРТОФЕЛЬНАЯ ФАБРИКА (ЗАО);(48349) 2-41-92, 2-41-93
ПОГАРСКАЯ ОПЫТНАЯ СТАНЦИЯ. ВНИИ ТАБАКА, МАХОРКИ и ТАБАЧНЫХ ИЗДЕЛИЙ;(48349) 2-11-41, 2-10-48
СЕЛЬСКОХОЗЯЙСТВЕННАЯ ОПЫТНАЯ СТАНЦИЯ. ВНИИ ЛЮПИНА;(48343) 9-33-21, 3-32-20
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ БОНДАРЕНКО;(48352) 9-47-10
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ ИЛЬИЧА;(48347) 2-53-36
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ КИРОВА;(48343) 9-15-46
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ КУЙБЫШЕВА;(48356) 9-25-25
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ КУТУЗОВА;(48352) 2-46-01
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ ЛЕНИНА;(48355) 9-36-46
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ МИЧУРИНА;(48355) 9-34-24
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ ТИМИРЯЗЕВА;(48355) 9-44-49
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ ЧАПАЕВА;(48346) 9-24-35
СТОЛБОВСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ СТОЛЯРОВА;(48354) 9-18-73
УЧЕБНО-ПРОИЗВОДСТВЕННОЕ ХОЗЯЙСТВО. НОВОЗЫБКОВСКИЙ СЕЛЬХОЗТЕХНИКУМ;(48343) 5-53-25
«АБРАМКИН» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48342) 2-22-21, 2-22-69
«АВАНГАРД» КОЛХОЗ;(48339) 9-46-42
«АВАНГАРД» ТОВАРИЩЕСТВО на ВЕРЕ;(48348) 2-27-73, 2-20-52
«АВАНГАРД» ТОВАРИЩЕСТВО на ВЕРЕ;(48335) 9-35-39, 9-34-23
«АВАНГАРД» ТОВАРИЩЕСТВО на ВЕРЕ;(48355) 9-46-46
«АВТОМОБИЛИСТ» АГРОПРОМЫШЛЕННЫЙ КОМБИНАТ (ОАО);(48334) 3-69-53, 9-23-16
«АГРОГОРОДОК ВОРОНОВСКИЙ» ОАО;(48331) 9-42-10
«АГРОГОРОДОК ДОМАШОВСКИЙ» ОАО;(4832) 97-81-21
«АГРОГОРОДОК ЖИРЯТИНСКИЙ» ОАО;(48344) 3-03-95
«АГРОГОРОДОК МОСКОВСКИЙ» ОАО;(48345) 5-65-32
«АГРОГОРОДОК НИКОЛЬСКО-СЛОБОДСКОЙ» ОАО;(48334) 9-54-32
«АГРОГОРОДОК СУРАЖСКИЙ» ОАО;(48330) 9-43-45, 9-40-87
«АГРОГРУПП» ООО;(48354) 9-22-54
«АГРОПРОДУКТ» ООО;(48355) 9-19-76, 9-22-51
«АГРОПРОМ» ООО;(48347) 5-56-88
«АГРОРЕСУРС» ООО;"(48330) 9-17-51; (910) 293-51-89"
«АГРОСЕРВИС» УНЕЧСКАЯ МАШИННО-ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ (ОАО);(48351) 2-18-16, 2-29-19
«АГРОСМАК» ООО;(4832) 75-55-55
«АГРО» ООО;(48340) 2-22-21
«АЗАРОВКА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48348) 9-23-31, 9-23-63
«АЛЕСЕНКО А.С.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-56
«АМТЕЛ» АГРОФИРМА (ООО);(48355) 9-32-91
«АНДРЕЙКОВИЧСКИЙ» СЕЛЬХОЗКООПЕРАТИВ;(48349) 9-23-43
«АПАЖА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48355) 9-54-10
«АРЕНДАТОР» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48346) 9-17-86
«АСОВИЦА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48355) 9-45-24
«АХЛАМОВ А.В.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-56
«БАЙБАШЕВ К.Б.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48335) 2-46-88
«БАРАНОВ Н.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48356) 9-42-21
«БАРБАШ П.П.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 9-44-35
«БАСЫНЯ Е.В.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-56
«БАЦАЕВ Р.М.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48344) 3-22-44
«БЕЖИЦКОЕ» ОАО. АДМИНИСТРАЦИЯ БРЯНСКОГО РАЙОНА;(4832) 92-64-34, 92-66-56
«БЕЛИКОВ А.А.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48356) 9-61-44
«БЕЛОЛЕД» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48347) 2-15-86, 2-15-81
«БЕЛЫЙ КОЛОДЕЦ» АГРОФИРМА (ООО);(48343) 5-31-51
«БЕЛЬКОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48345) 9-35-20
